like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
-6e-08,6.617,6.617,6.617,1.0
-0.1715,8.85,6.71,6.9,1.0
-0.159,8.914,6.805,7.176,1.0
-0.04648,6.676,6.9,7.457,1.0
-0.2822,4.438,6.992,7.734,1.0
-0.5723,2.203,7.082,8.016,1.0
-0.6006,2.053,7.176,8.3,1.0
-0.3335,4.29,7.27,8.58,1.0
-0.1328,6.523,7.363,8.85,1.0
-0.0667,8.76,7.457,9.13,1.0
-0.07263,9.0,7.55,9.414,1.0
-0.1527,6.77,7.645,9.695,1.0
-0.36,4.53,7.734,9.97,1.0
-0.604,2.297,7.83,9.75,1.0
-0.644,1.96,7.92,9.47,1.0
-0.3806,4.195,8.016,9.19,1.0
-0.1637,6.43,8.11,8.914,1.0
-0.02425,8.664,8.2,8.63,1.0
-0.0564,9.09,8.3,8.35,1.0
-0.1117,6.86,8.39,8.07,1.0
-0.3186,4.625,8.484,7.793,1.0
-0.58,2.389,8.58,7.51,1.0
-0.652,1.867,8.664,7.234,1.0
-0.3713,4.1,8.76,6.953,1.0
-0.1545,6.34,8.85,6.676,1.0
-0.102,8.58,8.945,6.395,1.0
-0.1447,9.19,9.04,6.117,1.0
-0.1335,6.953,9.13,5.836,1.0
-0.3145,4.72,9.23,5.555,1.0
-0.5845,2.482,9.32,5.277,1.0
-0.6924,1.773,9.414,4.996,1.0
-0.4045,4.008,9.51,4.72,1.0
-0.2235,6.246,9.6,4.438,1.0
-0.2192,8.484,9.695,4.16,1.0
-0.2637,9.28,9.79,3.879,1.0
-0.2401,7.047,9.875,3.6,1.0
-0.3699,4.812,9.97,3.32,1.0
-0.6265,2.576,9.94,3.041,1.0
-0.767,1.681,9.84,2.762,1.0
-0.4673,3.916,9.75,2.482,1.0
-0.3257,6.152,9.66,2.203,1.0
-0.3643,8.39,9.56,1.923,1.0
-0.427,9.375,9.47,1.644,1.0
-0.376,7.14,9.375,1.364,1.0
-0.432,4.906,9.28,1.085,1.0
-0.645,2.668,9.19,1.215,1.0
-0.8066,1.587,9.09,1.494,1.0
-0.466,3.822,9.0,1.773,1.0
-0.3164,6.06,8.914,2.053,1.0
-0.3438,8.3,8.82,2.332,1.0
-0.3843,9.47,8.73,2.611,1.0
-0.2646,7.234,8.63,2.89,1.0
-0.285,4.996,8.54,3.172,1.0
-0.5195,2.762,8.445,3.451,1.0
-0.7163,1.494,8.35,3.73,1.0
-0.3745,3.73,8.26,4.008,1.0
-0.1727,5.965,8.164,4.29,1.0
-0.1991,8.2,8.07,4.57,1.0
-0.2698,9.56,7.98,4.848,1.0
-0.12195,7.33,7.887,5.13,1.0
-0.1976,5.09,7.793,5.406,1.0
-0.4658,2.855,7.7,5.688,1.0
-0.69,1.401,7.605,5.965,1.0
-0.361,3.637,7.51,6.246,1.0
-0.11444,5.87,7.418,6.523,1.0
-0.08685,8.11,7.33,6.805,1.0
-0.1938,9.66,7.234,7.082,1.0
-0.01743,7.418,7.14,7.363,1.0
-0.201,5.184,7.047,7.645,1.0
-0.466,2.947,6.953,7.92,1.0
-0.7036,1.308,6.86,8.2,1.0
-0.4014,3.543,6.77,8.484,1.0
-0.177,5.78,6.676,8.76,1.0
-0.0863,8.016,6.582,9.04,1.0
-0.1713,9.75,6.49,9.32,1.0
-0.1093,7.51,6.395,9.6,1.0
-0.2607,5.277,6.3,9.875,1.0
-0.489,3.041,6.207,9.84,1.0
-0.7266,1.215,6.117,9.56,1.0
-0.4211,3.451,6.023,9.28,1.0
-0.1855,5.688,5.93,9.0,1.0
-0.12164,7.92,5.836,8.73,1.0
-0.2432,9.84,5.742,8.445,1.0
-0.11847,7.605,5.65,8.164,1.0
-0.1543,5.37,5.555,7.887,1.0
-0.3906,3.135,5.465,7.605,1.0
-0.699,1.121,5.37,7.33,1.0
-0.333,3.357,5.277,7.047,1.0
-0.077,5.594,5.184,6.77,1.0
-0.2123,7.83,5.09,6.49,1.0
-0.3918,9.94,4.996,6.207,1.0
-0.2404,7.7,4.906,5.93,1.0
-0.0531,5.465,4.812,5.65,1.0
-0.2522,3.229,4.72,5.37,1.0
-0.6616,1.028,4.625,5.09,1.0
-0.2067,3.264,4.53,4.812,1.0
-0.1318,5.5,4.438,4.53,1.0
-0.3923,7.734,4.344,4.254,1.0
-0.5996,9.97,4.254,3.973,1.0
-0.4587,7.793,4.16,3.693,1.0
-0.2576,5.555,4.066,3.414,1.0
-0.0811,3.32,3.973,3.135,1.0
-0.57,1.085,3.879,2.855,1.0
-0.101,3.172,3.787,2.576,1.0
-0.393,5.406,3.693,2.297,1.0
-0.674,7.645,3.6,2.016,1.0
-0.887,9.875,3.508,1.737,1.0
-0.7896,7.887,3.414,1.458,1.0
-0.624,5.65,3.32,1.178,1.0
-0.3413,3.414,3.229,1.121,1.0
-0.458,1.178,3.135,1.401,1.0
-0.2042,3.078,3.041,1.681,1.0
-0.517,5.312,2.947,1.96,1.0
-0.7344,7.55,2.855,2.24,1.0
-0.884,9.79,2.762,2.52,1.0
-0.7295,7.98,2.668,2.799,1.0
-0.4841,5.742,2.576,3.078,1.0
-0.1477,3.508,2.482,3.357,1.0
-0.4468,1.271,2.389,3.637,1.0
-0.1383,2.984,2.297,3.916,1.0
-0.37,5.22,2.203,4.195,1.0
-0.5884,7.457,2.11,4.477,1.0
-0.746,9.695,2.016,4.754,1.0
-0.616,8.07,1.923,5.035,1.0
-0.4143,5.836,1.83,5.312,1.0
-0.2783,3.6,1.737,5.594,1.0
-0.5835,1.364,1.644,5.87,1.0
-0.361,2.89,1.551,6.152,1.0
-0.3682,5.13,1.458,6.43,1.0
-0.519,7.363,1.364,6.71,1.0
-0.6587,9.6,1.271,6.992,1.0
-0.564,8.164,1.178,7.27,1.0
-0.4333,5.93,1.085,7.55,1.0
-0.4277,3.693,1.028,7.83,1.0
-0.7,1.458,1.121,8.11,1.0
-0.511,2.799,1.215,8.39,1.0
-0.3896,5.035,1.308,8.664,1.0
-0.4321,7.27,1.401,8.945,1.0
-0.5215,9.51,1.494,9.23,1.0
-0.4456,8.26,1.587,9.51,1.0
-0.3733,6.023,1.681,9.79,1.0
-0.454,3.787,1.773,9.94,1.0
-0.709,1.551,1.867,9.66,1.0
-0.5317,2.705,1.96,9.375,1.0
-0.3442,4.94,2.053,9.09,1.0
-0.361,7.176,2.146,8.82,1.0
-0.476,9.414,2.24,8.54,1.0
-0.4172,8.35,2.332,8.26,1.0
-0.2996,6.117,2.426,7.98,1.0
-0.3125,3.879,2.52,7.7,1.0
-0.5884,1.644,2.611,7.418,1.0
-0.4138,2.611,2.705,7.14,1.0
-0.2224,4.848,2.799,6.86,1.0
-0.339,7.082,2.89,6.582,1.0
-0.51,9.32,2.984,6.3,1.0
-0.4534,8.445,3.078,6.023,1.0
-0.271,6.207,3.172,5.742,1.0
-0.141,3.973,3.264,5.465,1.0
-0.4614,1.737,3.357,5.184,1.0
-0.289,2.52,3.451,4.906,1.0
-0.1251,4.754,3.543,4.625,1.0
-0.3813,6.992,3.637,4.344,1.0
-0.587,9.23,3.73,4.066,1.0
-0.5474,8.54,3.822,3.787,1.0
-0.3499,6.3,3.916,3.508,1.0
-0.08545,4.066,4.008,3.229,1.0
-0.3853,1.83,4.1,2.947,1.0
-0.256,2.426,4.195,2.668,1.0
-0.238,4.66,4.29,2.389,1.0
-0.5073,6.9,4.383,2.11,1.0
-0.7163,9.13,4.477,1.83,1.0
-0.7007,8.63,4.57,1.551,1.0
-0.533,6.395,4.66,1.271,1.0
-0.3528,4.16,4.754,1.028,1.0
-0.468,1.923,4.848,1.308,1.0
-0.3818,2.332,4.94,1.587,1.0
-0.2637,4.57,5.035,1.867,1.0
-0.4292,6.805,5.13,2.146,1.0
-0.5796,9.04,5.22,2.426,1.0
-0.5225,8.73,5.312,2.705,1.0
-0.2979,6.49,5.406,2.984,1.0
-0.1401,4.254,5.5,3.264,1.0
-0.4712,2.016,5.594,3.543,1.0
-0.4363,2.24,5.688,3.822,1.0
-0.1178,4.477,5.78,4.1,1.0
-0.1781,6.71,5.87,4.383,1.0
-0.343,8.945,5.965,4.66,1.0
-0.3093,8.82,6.06,4.94,1.0
-0.0962,6.582,6.152,5.22,1.0
-0.1862,4.344,6.246,5.5,1.0
-0.524,2.11,6.34,5.78,1.0
-0.5264,2.146,6.43,6.06,1.0
-0.2234,4.383,6.523,6.34,1.0
-6e-08,2.39,2.39,2.39,1.0
-0.10126,2.297,1.865,2.111,1.0
-0.3013,2.203,4.1,1.831,1.0
-0.547,2.111,6.336,1.552,1.0
-0.716,2.018,8.57,1.272,1.0
-0.775,1.925,9.19,1.027,1.0
-0.658,1.831,6.957,1.307,1.0
-0.4824,1.738,4.72,1.586,1.0
-0.1945,1.6455,2.484,1.865,1.0
-0.1415,1.552,1.772,2.145,1.0
-0.4666,1.459,4.008,2.424,1.0
-0.66,1.365,6.242,2.703,1.0
-0.781,1.272,8.48,2.984,1.0
-0.8193,1.18,9.28,3.264,1.0
-0.746,1.086,7.047,3.543,1.0
-0.653,1.027,4.812,3.822,1.0
-0.5312,1.12,2.576,4.1,1.0
-0.514,1.214,1.679,4.38,1.0
-0.558,1.307,3.916,4.66,1.0
-0.6357,1.399,6.152,4.94,1.0
-0.7007,1.493,8.39,5.22,1.0
