like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,9.61,9.58,9.586,1.0
1.0,7.37,9.484,9.31,1.0
1.0,5.137,9.39,9.03,1.0
1.0,2.9,9.305,8.75,1.0
0.9995,1.355,9.21,8.47,1.0
1.0,3.592,9.12,8.195,1.0
1.0,5.83,9.02,7.914,1.0
1.0,8.06,8.93,7.633,1.0
1.0,9.7,8.836,7.355,1.0
1.0,7.465,8.74,7.074,1.0
1.0,5.23,8.65,6.797,1.0
1.0,2.994,8.555,6.52,1.0
0.9995,1.262,8.47,6.24,1.0
1.0,3.498,8.375,5.96,1.0
1.0,5.734,8.28,5.68,1.0
1.0,7.97,8.19,5.402,1.0
1.0,9.8,8.09,5.12,1.0
1.0,7.56,8.0,4.844,1.0
1.0,5.324,7.906,4.562,1.0
1.0,3.086,7.816,4.285,1.0
0.9995,1.169,7.723,4.004,1.0
0.9995,3.404,7.63,3.727,1.0
1.0,5.64,7.535,3.447,1.0
0.9995,7.875,7.445,3.168,1.0
0.999,9.89,7.35,2.889,1.0
0.9995,7.652,7.258,2.61,1.0
0.9995,5.414,7.164,2.33,1.0
0.9995,3.18,7.074,2.05,1.0
0.9995,1.076,6.98,1.771,1.0
0.9995,3.312,6.887,1.492,1.0
0.9995,5.547,6.793,1.214,1.0
0.999,7.785,6.7,1.065,1.0
0.9985,9.984,6.61,1.345,1.0
0.999,7.746,6.516,1.624,1.0
0.9995,5.508,6.42,1.903,1.0
0.9995,3.273,6.33,2.182,1.0
0.9995,1.037,6.24,2.46,1.0
0.9995,3.219,6.145,2.74,1.0
1.0,5.453,6.05,3.02,1.0
0.9995,7.69,5.957,3.299,1.0
0.999,9.93,5.867,3.578,1.0
0.9995,7.84,5.773,3.857,1.0
1.0,5.6,5.68,4.137,1.0
1.0,3.367,5.586,4.414,1.0
1.0,1.131,5.492,4.695,1.0
1.0,3.125,5.402,4.973,1.0
1.0,5.36,5.31,5.254,1.0
1.0,7.598,5.215,5.53,1.0
0.9995,9.836,5.12,5.812,1.0
1.0,7.93,5.03,6.09,1.0
1.0,5.695,4.938,6.37,1.0
1.0,3.459,4.844,6.65,1.0
0.9995,1.224,4.75,6.93,1.0
0.9995,3.031,4.66,7.207,1.0
1.0,5.27,4.566,7.49,1.0
1.0,7.504,4.473,7.766,1.0
0.9995,9.74,4.38,8.05,1.0
1.0,8.02,4.285,8.32,1.0
1.0,5.79,4.195,8.6,1.0
0.9995,3.553,4.1,8.88,1.0
0.999,1.316,4.008,9.164,1.0
0.9995,2.94,3.916,9.44,1.0
0.9995,5.176,3.822,9.72,1.0
0.9995,7.41,3.73,9.96,1.0
0.9995,9.65,3.637,9.68,1.0
0.9995,8.12,3.545,9.41,1.0
0.9995,5.883,3.451,9.125,1.0
0.9995,3.646,3.36,8.84,1.0
0.999,1.41,3.266,8.56,1.0
0.9995,2.846,3.172,8.29,1.0
0.9995,5.082,3.08,8.01,1.0
0.9995,7.316,2.986,7.727,1.0
0.9995,9.555,2.895,7.45,1.0
0.9995,8.21,2.8,7.168,1.0
0.9995,5.977,2.709,6.89,1.0
0.9995,3.738,2.615,6.61,1.0
0.999,1.503,2.523,6.332,1.0
0.9995,2.752,2.43,6.05,1.0
1.0,4.99,2.338,5.773,1.0
0.9995,7.223,2.244,5.492,1.0
0.9985,9.46,2.152,5.215,1.0
0.999,8.305,2.059,4.938,1.0
0.9995,6.066,1.966,4.656,1.0
1.0,3.832,1.873,4.38,1.0
0.9995,1.597,1.78,4.098,1.0
1.0,2.66,1.6875,3.818,1.0
0.9995,4.895,1.595,3.54,1.0
0.998,7.133,1.502,3.26,1.0
0.9966,9.37,1.408,2.982,1.0
0.9966,8.4,1.315,2.703,1.0
0.9976,6.16,1.223,2.424,1.0
0.999,3.926,1.13,2.145,1.0
1.0,1.689,1.037,1.865,1.0
0.9995,2.566,1.075,1.586,1.0
0.997,4.8,1.168,1.307,1.0
0.9946,7.04,1.262,1.027,1.0
0.994,9.27,1.3545,1.252,1.0
0.995,8.49,1.447,1.531,1.0
0.9976,6.254,1.54,1.811,1.0
0.999,4.02,1.633,2.09,1.0
1.0,1.782,1.726,2.37,1.0
1.0,2.473,1.818,2.648,1.0
0.9995,4.71,1.911,2.928,1.0
0.9985,6.945,2.004,3.205,1.0
0.998,9.18,2.098,3.484,1.0
0.9985,8.586,2.19,3.764,1.0
0.9995,6.348,2.283,4.043,1.0
1.0,4.113,2.375,4.324,1.0
0.9995,1.876,2.469,4.6,1.0
0.9995,2.38,2.56,4.883,1.0
1.0,4.617,2.654,5.16,1.0
0.9995,6.85,2.746,5.438,1.0
0.999,9.086,2.84,5.72,1.0
0.9995,8.68,2.932,5.996,1.0
1.0,6.44,3.025,6.277,1.0
1.0,4.203,3.12,6.555,1.0
0.9995,1.969,3.21,6.836,1.0
0.9995,2.287,3.305,7.113,1.0
0.9995,4.523,3.396,7.395,1.0
1.0,6.758,3.49,7.67,1.0
0.9995,8.99,3.582,7.953,1.0
0.9995,8.77,3.676,8.234,1.0
1.0,6.535,3.768,8.51,1.0
0.9995,4.297,3.861,8.79,1.0
0.999,2.062,3.953,9.07,1.0
0.999,2.193,4.047,9.35,1.0
0.9995,4.43,4.14,9.625,1.0
0.9995,6.664,4.234,9.91,1.0
1.0,8.9,4.324,9.77,1.0
1.0,8.86,4.418,9.49,1.0
1.0,6.63,4.51,9.22,1.0
0.9995,4.39,4.605,8.94,1.0
0.9995,2.156,4.695,8.66,1.0
0.9995,2.1,4.79,8.375,1.0
1.0,4.336,4.883,8.1,1.0
1.0,6.574,4.977,7.82,1.0
1.0,8.805,5.066,7.543,1.0
1.0,8.95,5.16,7.26,1.0
1.0,6.72,5.254,6.984,1.0
1.0,4.484,5.348,6.703,1.0
0.9995,2.248,5.44,6.426,1.0
0.9995,2.008,5.53,6.145,1.0
1.0,4.242,5.625,5.867,1.0
1.0,6.48,5.72,5.586,1.0
1.0,8.72,5.812,5.31,1.0
0.9995,9.05,5.902,5.027,1.0
1.0,6.812,5.996,4.75,1.0
1.0,4.58,6.09,4.47,1.0
1.0,2.342,6.184,4.19,1.0
1.0,1.914,6.273,3.912,1.0
1.0,4.15,6.367,3.633,1.0
1.0,6.387,6.46,3.354,1.0
0.9995,8.625,6.555,3.074,1.0
0.9995,9.14,6.65,2.795,1.0
0.9995,6.906,6.74,2.516,1.0
0.9995,4.67,6.832,2.236,1.0
0.9995,2.436,6.926,1.958,1.0
0.9995,1.821,7.02,1.679,1.0
0.9995,4.06,7.11,1.399,1.0
0.999,6.293,7.203,1.12,1.0
0.999,8.53,7.297,1.159,1.0
0.999,9.234,7.39,1.4375,1.0
0.9995,7.0,7.48,1.717,1.0
0.9995,4.766,7.574,1.996,1.0
