like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.979,2.008,2.22,3.838,1.0,0.0846,-0.00976,0.665,0.1114,0.4292,0.1171,0.0846,1.0,0.307,0.117,0.002708,0.838,0.00954,-0.00976,0.307,1.0,0.0567,0.00399,0.2927,0.002378,0.665,0.117,0.0567,1.0,0.04303,0.6396,0.201,0.1114,0.002708,0.00399,0.04303,1.0,0.02577,0.00833,0.4292,0.838,0.2927,0.6396,0.02577,1.0,0.1176,0.1171,0.00954,0.002378,0.201,0.00833,0.1176,1.0,1.0
0.9673,4.66,1.237,1.076,1.0,0.0846,-0.00976,0.665,0.1114,0.1398,0.1677,0.0846,1.0,0.307,0.117,0.002708,0.9966,0.1219,-0.00976,0.307,1.0,0.0567,0.00399,0.315,0.02972,0.665,0.117,0.0567,1.0,0.04303,0.2007,0.2429,0.1114,0.002708,0.00399,0.04303,1.0,0.00636,0.02863,0.1398,0.9966,0.315,0.2007,0.00636,1.0,0.1409,0.1677,0.1219,0.02972,0.2429,0.02863,0.1409,1.0,1.0
0.998,8.734,8.5,6.816,1.0,0.0846,-0.00976,0.665,0.1114,0.257,0.11914,0.0846,1.0,0.307,0.117,0.002708,0.963,0.02371,-0.00976,0.307,1.0,0.0567,0.00399,0.3267,0.005974,0.665,0.117,0.0567,1.0,0.04303,0.3792,0.2018,0.1114,0.002708,0.00399,0.04303,1.0,0.01421,0.01033,0.257,0.963,0.3267,0.3792,0.01421,1.0,0.0765,0.11914,0.02371,0.005974,0.2018,0.01033,0.0765,1.0,1.0
0.972,5.6,2.803,1.405,1.0,0.0846,-0.00976,0.665,0.1114,0.144,0.151,0.0846,1.0,0.307,0.117,0.002708,0.9956,0.0967,-0.00976,0.307,1.0,0.0567,0.00399,0.3213,0.02386,0.665,0.117,0.0567,1.0,0.04303,0.2076,0.2277,0.1114,0.002708,0.00399,0.04303,1.0,0.00668,0.02309,0.144,0.9956,0.3213,0.2076,0.00668,1.0,0.1161,0.151,0.0967,0.02386,0.2277,0.02309,0.1161,1.0,1.0
0.9946,8.234,4.65,5.28,1.0,0.0846,-0.00976,0.665,0.1114,0.2302,0.1295,0.0846,1.0,0.307,0.117,0.002708,0.974,0.03604,-0.00976,0.307,1.0,0.0567,0.00399,0.3188,0.008835,0.665,0.117,0.0567,1.0,0.04303,0.3376,0.2123,0.1114,0.002708,0.00399,0.04303,1.0,0.01237,0.01289,0.2302,0.974,0.3188,0.3376,0.01237,1.0,0.0822,0.1295,0.03604,0.008835,0.2123,0.01289,0.0822,1.0,1.0
0.964,2.887,2.848,6.594,1.0,0.0846,-0.00976,0.665,0.1114,0.467,0.1182,0.0846,1.0,0.307,0.117,0.002708,0.7935,0.008545,-0.00976,0.307,1.0,0.0567,0.00399,0.2764,0.00211,0.665,0.117,0.0567,1.0,0.04303,0.697,0.2024,0.1114,0.002708,0.00399,0.04303,1.0,0.02835,0.008286,0.467,0.7935,0.2764,0.697,0.02835,1.0,0.13,0.1182,0.008545,0.00211,0.2024,0.008286,0.13,1.0,1.0
0.971,2.361,6.25,5.1,1.0,0.0846,-0.00976,0.665,0.1114,0.45,0.107,0.0846,1.0,0.307,0.117,0.002708,0.8105,0.0063,-0.00976,0.307,1.0,0.0567,0.00399,0.3154,0.00172,0.665,0.117,0.0567,1.0,0.04303,0.674,0.1893,0.1114,0.002708,0.00399,0.04303,1.0,0.0274,0.007164,0.45,0.8105,0.3154,0.674,0.0274,1.0,0.11554,0.107,0.0063,0.00172,0.1893,0.007164,0.11554,1.0,1.0
0.998,4.56,8.95,5.684,1.0,0.0846,-0.00976,0.665,0.1114,0.337,0.1072,0.0846,1.0,0.307,0.117,0.002708,0.9165,0.01047,-0.00976,0.307,1.0,0.0567,0.00399,0.3372,0.002829,0.665,0.117,0.0567,1.0,0.04303,0.5015,0.1891,0.1114,0.002708,0.00399,0.04303,1.0,0.01968,0.007706,0.337,0.9165,0.3372,0.5015,0.01968,1.0,0.0845,0.1072,0.01047,0.002829,0.1891,0.007706,0.0845,1.0,1.0
0.859,1.475,9.88,8.2,1.0,0.0846,-0.00976,0.665,0.1114,0.5967,0.1039,0.0846,1.0,0.307,0.117,0.002708,0.5317,0.003744,-0.00976,0.307,1.0,0.0567,0.00399,0.2585,0.001066,0.665,0.117,0.0567,1.0,0.04303,0.8994,0.1855,0.1114,0.002708,0.00399,0.04303,1.0,0.03787,0.006603,0.5967,0.5317,0.2585,0.8994,0.03787,1.0,0.1588,0.1039,0.003744,0.001066,0.1855,0.006603,0.1588,1.0,1.0
0.9985,3.336,3.12,4.047,1.0,0.0846,-0.00976,0.665,0.1114,0.3347,0.11884,0.0846,1.0,0.307,0.117,0.002708,0.92,0.015335,-0.00976,0.307,1.0,0.0567,0.00399,0.3135,0.003819,0.665,0.117,0.0567,1.0,0.04303,0.496,0.2025,0.1114,0.002708,0.00399,0.04303,1.0,0.01938,0.00922,0.3347,0.92,0.3135,0.496,0.01938,1.0,0.0931,0.11884,0.015335,0.003819,0.2025,0.00922,0.0931,1.0,1.0
