like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101,simulation_102,simulation_103,simulation_104,simulation_105,simulation_106,simulation_107,simulation_108,simulation_109,simulation_110,simulation_111,simulation_112,simulation_113,simulation_114,simulation_115,simulation_116,simulation_117,simulation_118,simulation_119,simulation_120,simulation_121,simulation_122,simulation_123,simulation_124,simulation_125,simulation_126,simulation_127,simulation_128,simulation_129,simulation_130,simulation_131,simulation_132,chain
1.0,8.555,6.055,4.49,1.0,0.1683,0.003683,0.6963,0.1874,0.2418,0.3887,0.1683,1.0,0.2155,0.219,0.1599,0.993,0.5054,0.003683,0.2155,1.0,0.0729,0.03693,0.2472,0.0997,0.6963,0.219,0.0729,1.0,0.10846,0.3276,0.564,0.1874,0.1599,0.03693,0.10846,1.0,0.1674,0.1399,0.2418,0.993,0.2472,0.3276,0.1674,1.0,0.5537,0.3887,0.5054,0.0997,0.564,0.1399,0.5537,1.0,inf,3.158,0.9272,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.613,74.2,inf,328.8,458.5,0.0,0.0,33.97,44.25,75.06,109.44,158.4,234.4,345.8,515.5,833.0,1189.0,14580.0,inf,-0.05197,0.2932,-13.05,-0.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,inf,-69.75,110.1,-2386.0,-271.5,-182.6,-106.9,-69.0,-45.88,-31.27,-21.53,-14.8,-9.0,2.074,5.0,1297.0,0.2979,130.4,0.9146,0.991,0.956,0.9956,0.0609,72.06,-1.6455,-21.23,0.688,inf,0.897,0.919,0.0887,17000.0,0.9,0.9424,0.1065,68.7,1.0
1.0,1.13,7.387,7.547,1.0,0.1683,0.003683,0.6963,0.1874,0.594,0.3955,0.1683,1.0,0.2155,0.219,0.1599,0.6772,0.0566,0.003683,0.2155,1.0,0.0729,0.03693,0.3054,0.02771,0.6963,0.219,0.0729,1.0,0.10846,0.8525,0.7134,0.1874,0.1599,0.03693,0.10846,1.0,0.1626,0.06464,0.594,0.6772,0.3054,0.8525,0.1626,1.0,0.556,0.3955,0.0566,0.02771,0.7134,0.06464,0.556,1.0,inf,3.041,0.6006,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,111.75,inf,90.9,142.9,0.0,0.0,5.727,11.24,17.89,27.2,40.3,60.22,90.75,139.0,231.0,336.0,10640.0,inf,0.0658,0.4868,-30.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,inf,168.0,252.5,-2584.0,5.0,5.0,21.48,37.66,53.28,76.8,112.1,166.8,255.0,429.5,633.0,5484.0,0.4912,303.2,0.6064,0.667,0.779,0.8164,0.0726,169.2,2.164,184.9,0.3625,41470.0,0.3308,-3.504,0.2412,inf,0.3428,-2.121,0.1326,158.6,1.0
1.0,3.988,2.088,8.664,1.0,0.1683,0.003683,0.6963,0.1874,0.422,0.4805,0.1683,1.0,0.2155,0.219,0.1599,0.9175,0.222,0.003683,0.2155,1.0,0.0729,0.03693,0.2273,0.04266,0.6963,0.219,0.0729,1.0,0.10846,0.589,0.7764,0.1874,0.1599,0.03693,0.10846,1.0,0.1766,0.10583,0.422,0.9175,0.2273,0.589,0.1766,1.0,0.4998,0.4805,0.222,0.04266,0.7764,0.10583,0.4998,1.0,inf,3.125,1.032,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,141.4,inf,235.2,323.0,0.0,0.0,20.64,32.28,51.62,75.8,111.7,167.1,249.8,375.5,605.5,856.5,10620.0,inf,-0.01811,0.3838,-59.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,inf,23.6,75.75,-3772.0,-33.62,-8.016,2.547,5.0,6.414,10.68,16.42,26.33,44.9,85.0,133.8,4836.0,0.3843,79.4,0.901,0.9595,0.949,0.9795,0.0501,39.44,-0.5796,10.03,0.7603,inf,0.8613,0.9395,0.1476,6300.0,0.862,0.945,0.0673,38.25,1.0
1.0,1.405,9.766,6.44,1.0,0.1683,0.003683,0.6963,0.1874,0.5312,0.3677,0.1683,1.0,0.2155,0.219,0.1599,0.771,0.05923,0.003683,0.2155,1.0,0.0729,0.03693,0.365,0.04117,0.6963,0.219,0.0729,1.0,0.10846,0.7627,0.683,0.1874,0.1599,0.03693,0.10846,1.0,0.1692,0.0597,0.5312,0.771,0.365,0.7627,0.1692,1.0,0.4658,0.3677,0.05923,0.04117,0.683,0.0597,0.4658,1.0,inf,3.027,0.4482,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,87.25,inf,89.44,132.2,0.0,0.0,6.383,12.16,18.78,27.66,40.94,61.2,91.94,139.8,228.9,328.5,12720.0,inf,0.0789,0.5117,-5.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.86,inf,169.5,245.8,-4504.0,5.0,16.7,21.88,38.84,56.06,79.75,116.75,172.0,258.8,428.0,623.5,5300.0,0.5176,298.5,0.605,0.7866,0.778,0.8867,0.079,169.6,2.605,189.5,0.2705,41660.0,-0.333,-4.094,0.268,inf,-0.302,-2.453,0.1505,156.2,1.0
1.0,6.945,2.48,6.555,1.0,0.1683,0.003683,0.6963,0.1874,0.2966,0.456,0.1683,1.0,0.2155,0.219,0.1599,0.9805,0.4302,0.003683,0.2155,1.0,0.0729,0.03693,0.2312,0.078,0.6963,0.219,0.0729,1.0,0.10846,0.406,0.6816,0.1874,0.1599,0.03693,0.10846,1.0,0.1715,0.1398,0.2966,0.9805,0.2312,0.406,0.1715,1.0,0.5396,0.456,0.4302,0.078,0.6816,0.1398,0.5396,1.0,inf,3.186,1.104,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.773,101.4,inf,333.0,458.2,0.0,0.0,32.94,45.1,74.94,109.8,160.5,238.5,353.2,527.5,848.5,1204.0,11660.0,inf,-0.0796,0.3567,-19.78,-0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.223,inf,-74.0,103.56,-2126.0,-269.2,-189.2,-117.44,-78.7,-53.16,-35.75,-24.53,-16.77,-9.92,-7.445,5.0,3622.0,0.3655,127.25,0.977,0.999,0.9883,0.9995,0.0796,74.75,-2.498,-22.23,0.846,inf,0.89,0.923,0.1335,16200.0,0.8955,0.9487,0.1478,68.06,1.0
1.0,8.336,8.11,4.07,1.0,0.1683,0.003683,0.6963,0.1874,0.2362,0.3662,0.1683,1.0,0.2155,0.219,0.1599,0.9937,0.491,0.003683,0.2155,1.0,0.0729,0.03693,0.2583,0.1039,0.6963,0.219,0.0729,1.0,0.10846,0.3203,0.5396,0.1874,0.1599,0.03693,0.10846,1.0,0.1669,0.1306,0.2362,0.9937,0.2583,0.3203,0.1669,1.0,0.5337,0.3662,0.491,0.1039,0.5396,0.1306,0.5337,1.0,inf,3.123,0.785,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.264,66.9,inf,297.8,416.2,0.0,0.0,30.81,40.1,68.06,99.2,143.4,212.1,313.0,466.5,754.0,1077.0,14990.0,inf,-0.01744,0.2306,-8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,inf,-38.88,72.4,-2510.0,-166.4,-109.6,-61.84,-38.6,-25.0,-16.94,-11.6,-6.94,-4.61,5.0,5.0,1919.0,0.2312,82.1,0.9146,0.9897,0.9565,0.9946,0.0402,44.3,-0.558,-13.055,0.5825,inf,0.913,0.961,0.05347,6748.0,0.9136,0.9697,0.05603,43.38,1.0
1.0,4.453,7.582,6.965,1.0,0.1683,0.003683,0.6963,0.1874,0.3613,0.4243,0.1683,1.0,0.2155,0.219,0.1599,0.9507,0.2313,0.003683,0.2155,1.0,0.0729,0.03693,0.2783,0.0615,0.6963,0.219,0.0729,1.0,0.10846,0.504,0.714,0.1874,0.1599,0.03693,0.10846,1.0,0.1748,0.0938,0.3613,0.9507,0.2783,0.504,0.1748,1.0,0.4255,0.4243,0.2313,0.0615,0.714,0.0938,0.4255,1.0,inf,3.066,0.6353,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,88.7,inf,194.1,265.8,0.0,0.0,17.92,26.66,43.16,63.3,93.06,138.6,206.5,309.2,497.5,703.5,11870.0,inf,0.04022,0.2366,-7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.266,inf,64.8,95.2,-1341.0,5.0,5.0,8.3,14.79,20.9,30.02,43.75,64.7,98.2,164.0,240.5,2066.0,0.2399,115.2,0.9277,0.9893,0.9634,0.9946,0.04102,65.0,1.3125,33.4,0.4749,inf,0.8574,0.812,0.05756,13260.0,0.8613,0.8716,0.0776,60.1,1.0
1.0,2.152,9.33,2.826,1.0,0.1683,0.003683,0.6963,0.1874,0.3237,0.321,0.1683,1.0,0.2155,0.219,0.1599,0.952,0.1613,0.003683,0.2155,1.0,0.0729,0.03693,0.377,0.10333,0.6963,0.219,0.0729,1.0,0.10846,0.457,0.605,0.1874,0.1599,0.03693,0.10846,1.0,0.1715,0.0628,0.3237,0.952,0.377,0.457,0.1715,1.0,0.3115,0.321,0.1613,0.10333,0.605,0.0628,0.3115,1.0,inf,3.018,0.2742,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,57.7,inf,124.56,172.5,0.0,0.0,11.49,17.22,27.83,40.8,59.9,88.94,132.1,197.4,317.8,450.2,15736.0,inf,0.08844,0.5522,-7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.12,inf,134.4,186.0,-6476.0,5.0,13.44,17.88,30.25,44.25,64.44,95.8,141.9,211.6,341.0,485.2,3840.0,0.559,229.5,0.764,0.981,0.874,0.99,0.0885,134.5,2.93,107.9,0.1859,60670.0,-3.16,-0.771,0.3127,52670.0,-3.057,-0.1637,0.1686,122.1,1.0
1.0,2.22,7.28,9.016,1.0,0.1683,0.003683,0.6963,0.1874,0.528,0.4187,0.1683,1.0,0.2155,0.219,0.1599,0.8027,0.0855,0.003683,0.2155,1.0,0.0729,0.03693,0.283,0.03098,0.6963,0.219,0.0729,1.0,0.10846,0.75,0.737,0.1874,0.1599,0.03693,0.10846,1.0,0.1727,0.07275,0.528,0.8027,0.283,0.75,0.1727,1.0,0.501,0.4187,0.0855,0.03098,0.737,0.07275,0.501,1.0,inf,3.053,0.6724,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,116.2,inf,125.7,181.5,0.0,0.0,9.44,17.22,26.58,39.25,58.03,86.75,130.4,197.8,322.8,461.5,9980.0,inf,0.05432,0.4343,-34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31,inf,133.2,204.5,-2014.0,4.617,5.0,17.0,28.88,41.34,59.84,87.6,131.1,202.1,343.5,509.0,4450.0,0.4375,244.0,0.688,0.828,0.8296,0.91,0.06616,135.1,1.78,105.94,0.4326,58700.0,0.5767,-0.808,0.1915,59550.0,0.583,-0.2695,0.1159,127.8,1.0
1.0,8.75,7.316,9.55,1.0,0.1683,0.003683,0.6963,0.1874,0.3127,0.4404,0.1683,1.0,0.2155,0.219,0.1599,0.974,0.3584,0.003683,0.2155,1.0,0.0729,0.03693,0.2498,0.0736,0.6963,0.219,0.0729,1.0,0.10846,0.431,0.691,0.1874,0.1599,0.03693,0.10846,1.0,0.1726,0.1202,0.3127,0.974,0.2498,0.431,0.1726,1.0,0.4885,0.4404,0.3584,0.0736,0.691,0.1202,0.4885,1.0,inf,3.12,0.846,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.05,92.1,inf,267.2,366.8,0.0,0.0,25.98,36.34,59.94,87.94,128.9,191.2,284.0,424.0,682.0,966.0,11880.0,inf,-0.012276,0.078,-9.39,-0.03998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444,inf,-8.23,13.305,-646.0,-31.83,-22.03,-13.35,-8.734,-5.78,-3.854,-2.594,-1.736,-1.095,-0.605,5.0,968.0,0.0789,15.64,0.9985,0.9995,0.999,1.0,0.0123,8.96,-0.3936,-3.08,0.656,inf,0.991,0.998,0.006233,244.8,0.9917,0.9985,0.02332,8.35,1.0
