like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,6.035,6.023,6.023,1.0
0.998,8.266,6.113,6.3,1.0
0.9966,9.484,6.207,6.582,1.0
1.0,7.26,6.3,6.86,1.0
0.9956,5.03,6.395,7.14,1.0
0.983,2.803,6.49,7.418,1.0
0.9707,1.485,6.582,7.7,1.0
0.9854,3.713,6.676,7.977,1.0
0.994,5.94,6.766,8.26,1.0
0.9985,8.17,6.86,8.54,1.0
0.9995,9.58,6.953,8.82,1.0
0.995,7.35,7.047,9.09,1.0
0.986,5.125,7.14,9.375,1.0
0.9707,2.896,7.234,9.66,1.0
0.9575,1.393,7.324,9.94,1.0
0.976,3.621,7.418,9.766,1.0
0.9897,5.848,7.51,9.484,1.0
0.9976,8.08,7.605,9.2,1.0
1.0,9.67,7.7,8.93,1.0
0.9985,7.445,7.793,8.65,1.0
0.9946,5.22,7.887,8.37,1.0
0.988,2.988,7.977,8.086,1.0
0.9805,1.3,8.07,7.81,1.0
0.994,3.527,8.164,7.53,1.0
0.9995,5.758,8.26,7.25,1.0
0.9976,7.984,8.35,6.973,1.0
0.99,9.766,8.445,6.69,1.0
0.9946,7.54,8.54,6.414,1.0
0.9976,5.31,8.63,6.133,1.0
0.999,3.082,8.73,5.85,1.0
0.9976,1.207,8.82,5.574,1.0
0.9956,3.436,8.91,5.293,1.0
0.983,5.664,9.0,5.016,1.0
0.9614,7.89,9.09,4.734,1.0
0.9365,9.86,9.19,4.457,1.0
0.9434,7.633,9.28,4.176,1.0
0.951,5.402,9.375,3.896,1.0
0.959,3.174,9.47,3.617,1.0
0.966,1.114,9.56,3.338,1.0
0.928,3.342,9.66,3.059,1.0
0.883,5.57,9.75,2.78,1.0
0.835,7.8,9.84,2.5,1.0
0.7886,9.95,9.94,2.22,1.0
0.781,7.723,9.95,1.94,1.0
0.771,5.496,9.86,1.661,1.0
0.7563,3.268,9.766,1.382,1.0
0.7334,1.039,9.67,1.102,1.0
0.7266,3.25,9.58,1.178,1.0
0.75,5.477,9.484,1.457,1.0
0.7656,7.707,9.39,1.736,1.0
0.777,9.94,9.3,2.016,1.0
0.8257,7.816,9.2,2.295,1.0
0.8765,5.59,9.12,2.574,1.0
0.925,3.36,9.02,2.854,1.0
0.966,1.132,8.93,3.135,1.0
0.959,3.156,8.836,3.414,1.0
0.95,5.387,8.74,3.693,1.0
0.9424,7.613,8.65,3.973,1.0
0.9346,9.84,8.555,4.25,1.0
0.961,7.91,8.46,4.53,1.0
0.9834,5.68,8.37,4.812,1.0
0.9966,3.453,8.27,5.09,1.0
0.997,1.225,8.18,5.37,1.0
0.999,3.064,8.086,5.65,1.0
0.998,5.293,7.996,5.93,1.0
0.995,7.52,7.902,6.207,1.0
0.99,9.75,7.81,6.49,1.0
0.9976,8.0,7.715,6.766,1.0
0.9995,5.773,7.625,7.047,1.0
0.993,3.545,7.53,7.324,1.0
0.9775,1.317,7.438,7.605,1.0
0.986,2.97,7.344,7.887,1.0
0.9937,5.2,7.25,8.164,1.0
0.998,7.43,7.156,8.445,1.0
0.9995,9.66,7.062,8.73,1.0
0.997,8.09,6.973,9.0,1.0
0.9883,5.867,6.88,9.28,1.0
0.9736,3.639,6.785,9.56,1.0
0.952,1.41,6.69,9.84,1.0
0.964,2.879,6.598,9.86,1.0
0.981,5.105,6.504,9.58,1.0
0.992,7.336,6.414,9.3,1.0
0.998,9.56,6.32,9.02,1.0
0.9966,8.19,6.227,8.74,1.0
0.9907,5.96,6.133,8.46,1.0
0.98,3.732,6.04,8.18,1.0
0.963,1.503,5.945,7.902,1.0
0.976,2.785,5.85,7.625,1.0
0.9917,5.016,5.76,7.344,1.0
0.999,7.242,5.668,7.062,1.0
0.9985,9.47,5.574,6.785,1.0
0.9995,8.28,5.48,6.504,1.0
0.9995,6.05,5.387,6.227,1.0
0.994,3.824,5.293,5.945,1.0
0.98,1.596,5.2,5.668,1.0
0.991,2.693,5.11,5.387,1.0
1.0,4.92,5.016,5.11,1.0
0.9946,7.15,4.92,4.83,1.0
0.9785,9.375,4.83,4.55,1.0
0.98,8.375,4.734,4.27,1.0
0.99,6.145,4.64,3.99,1.0
0.998,3.918,4.55,3.71,1.0
0.998,1.688,4.457,3.432,1.0
0.9985,2.6,4.363,3.152,1.0
0.977,4.83,4.27,2.873,1.0
0.9355,7.055,4.176,2.592,1.0
0.8833,9.28,4.082,2.312,1.0
0.872,8.47,3.99,2.033,1.0
0.883,6.24,3.896,1.754,1.0
0.8975,4.01,3.803,1.475,1.0
0.917,1.781,3.71,1.195,1.0
0.8804,2.506,3.617,1.084,1.0
0.8726,4.734,3.523,1.363,1.0
0.8657,6.965,3.432,1.644,1.0
0.86,9.195,3.338,1.923,1.0
0.8975,8.56,3.244,2.203,1.0
0.954,6.332,3.152,2.482,1.0
0.993,4.1,3.059,2.762,1.0
0.9956,1.874,2.965,3.041,1.0
0.9956,2.414,2.873,3.32,1.0
0.9995,4.64,2.78,3.6,1.0
0.994,6.87,2.686,3.879,1.0
0.9854,9.1,2.592,4.16,1.0
0.992,8.66,2.5,4.438,1.0
0.998,6.426,2.406,4.72,1.0
0.985,4.195,2.312,4.996,1.0
0.9487,1.968,2.22,5.277,1.0
0.949,2.32,2.127,5.555,1.0
0.975,4.55,2.033,5.836,1.0
0.989,6.777,1.94,6.113,1.0
0.995,9.01,1.848,6.395,1.0
0.9927,8.74,1.754,6.676,1.0
0.977,6.516,1.661,6.953,1.0
0.9497,4.29,1.567,7.234,1.0
0.91,2.06,1.475,7.51,1.0
0.909,2.229,1.382,7.793,1.0
0.94,4.457,1.288,8.07,1.0
0.961,6.684,1.195,8.35,1.0
0.9756,8.914,1.102,8.63,1.0
0.972,8.836,1.009,8.91,1.0
0.952,6.61,1.084,9.19,1.0
0.9253,4.383,1.178,9.47,1.0
0.8926,2.152,1.2705,9.75,1.0
0.8926,2.135,1.363,9.95,1.0
0.9272,4.363,1.457,9.67,1.0
0.955,6.594,1.55,9.39,1.0
0.975,8.82,1.644,9.12,1.0
0.9785,8.93,1.736,8.836,1.0
0.966,6.703,1.829,8.555,1.0
0.9463,4.473,1.923,8.27,1.0
0.9185,2.246,2.016,7.996,1.0
0.9194,2.043,2.11,7.715,1.0
0.9556,4.27,2.203,7.438,1.0
0.9805,6.5,2.295,7.156,1.0
0.994,8.73,2.389,6.88,1.0
0.996,9.02,2.482,6.598,1.0
0.991,6.797,2.574,6.32,1.0
0.9795,4.566,2.668,6.04,1.0
0.9575,2.338,2.762,5.76,1.0
0.9565,1.949,2.854,5.48,1.0
0.988,4.18,2.947,5.2,1.0
0.999,6.406,3.041,4.92,1.0
0.9927,8.63,3.135,4.64,1.0
0.986,9.12,3.227,4.363,1.0
0.994,6.887,3.32,4.082,1.0
0.9995,4.66,3.414,3.803,1.0
0.997,2.432,3.506,3.523,1.0
0.997,1.856,3.6,3.244,1.0
0.992,4.086,3.693,2.965,1.0
0.9565,6.312,3.785,2.686,1.0
0.905,8.54,3.879,2.406,1.0
0.8696,9.21,3.973,2.127,1.0
0.8765,6.98,4.066,1.848,1.0
0.8843,4.754,4.16,1.567,1.0
0.893,2.525,4.25,1.288,1.0
0.858,1.764,4.344,1.009,1.0
0.85,3.992,4.438,1.2705,1.0
0.845,6.223,4.53,1.55,1.0
0.841,8.445,4.625,1.829,1.0
0.8555,9.305,4.72,2.11,1.0
0.911,7.074,4.812,2.389,1.0
0.9595,4.844,4.902,2.668,1.0
0.9917,2.617,4.996,2.947,1.0
0.998,1.671,5.09,3.227,1.0
0.9927,3.9,5.184,3.506,1.0
0.982,6.13,5.277,3.785,1.0
0.97,8.36,5.37,4.066,1.0
0.9688,9.4,5.46,4.344,1.0
0.9893,7.168,5.555,4.625,1.0
0.9995,4.938,5.65,4.902,1.0
0.996,2.71,5.742,5.184,1.0
0.988,1.578,5.836,5.46,1.0
0.9976,3.807,5.93,5.742,1.0
1.0,7.027,7.016,7.016,1.0
0.9985,7.12,9.25,7.297,1.0
1.0,7.21,8.49,7.574,1.0
0.998,7.305,6.254,7.855,1.0
0.989,7.4,4.02,8.13,1.0
0.9727,7.492,1.784,8.414,1.0
0.976,7.582,2.451,8.695,1.0
0.9883,7.676,4.688,8.98,1.0
0.995,7.77,6.92,9.25,1.0
0.999,7.863,9.16,9.53,1.0
0.9976,7.957,8.586,9.81,1.0
0.991,8.05,6.348,9.89,1.0
0.9834,8.14,4.113,9.61,1.0
0.9717,8.234,1.877,9.33,1.0
0.9775,8.33,2.36,9.05,1.0
0.9917,8.42,4.594,8.77,1.0
0.999,8.516,6.832,8.49,1.0
0.9995,8.6,9.06,8.21,1.0
0.999,8.695,8.68,7.934,1.0
1.0,8.79,6.44,7.652,1.0
0.998,8.88,4.207,7.375,1.0
0.9917,8.98,1.971,7.094,1.0
0.9946,9.07,2.266,6.816,1.0
0.999,9.164,4.5,6.535,1.0
0.9937,9.26,6.74,6.254,1.0
0.98,9.35,8.98,5.977,1.0
0.976,9.44,8.77,5.695,1.0
0.9834,9.53,6.535,5.418,1.0
0.9893,9.625,4.3,5.137,1.0
0.9927,9.72,2.062,4.86,1.0
0.9893,9.81,2.172,4.58,1.0
0.971,9.91,4.41,4.3,1.0
0.943,9.984,6.645,4.02,1.0
0.908,9.89,8.88,3.74,1.0
0.8945,9.8,8.87,3.46,1.0
0.9053,9.7,6.63,3.182,1.0
0.917,9.61,4.39,2.902,1.0
0.9287,9.516,2.156,2.623,1.0
0.912,9.42,2.08,2.344,1.0
0.857,9.336,4.316,2.062,1.0
0.7954,9.24,6.55,1.784,1.0
0.7334,9.15,8.79,1.505,1.0
0.697,9.055,8.96,1.225,1.0
0.7,8.96,6.723,1.055,1.0
0.774,8.87,4.484,1.334,1.0
0.85,8.77,2.25,1.613,1.0
0.887,8.68,1.986,1.893,1.0
0.8794,8.586,4.223,2.172,1.0
0.871,8.5,6.457,2.451,1.0
0.863,8.41,8.695,2.73,1.0
0.8794,8.31,9.05,3.012,1.0
0.926,8.22,6.816,3.291,1.0
0.964,8.125,4.58,3.57,1.0
0.9883,8.03,2.344,3.85,1.0
0.994,7.938,1.893,4.13,1.0
0.9897,7.848,4.13,4.41,1.0
0.982,7.754,6.363,4.688,1.0
0.973,7.66,8.6,4.97,1.0
0.9756,7.566,9.14,5.246,1.0
0.9927,7.477,6.906,5.527,1.0
0.9995,7.383,4.67,5.805,1.0
0.994,7.29,2.436,6.086,1.0
0.9883,7.195,1.8,6.363,1.0
0.9966,7.105,4.035,6.645,1.0
1.0,7.01,6.273,6.92,1.0
0.9995,6.918,8.51,7.203,1.0
0.9995,6.824,9.234,7.484,1.0
0.9985,6.73,7.0,7.76,1.0
0.9897,6.64,4.766,8.04,1.0
0.9727,6.547,2.53,8.32,1.0
0.962,6.453,1.707,8.6,1.0
0.9775,6.36,3.943,8.88,1.0
0.988,6.27,6.18,9.16,1.0
0.994,6.176,8.414,9.44,1.0
0.995,6.082,9.33,9.72,1.0
0.986,5.99,7.094,9.984,1.0
0.974,5.9,4.86,9.7,1.0
0.9575,5.805,2.623,9.42,1.0
0.9487,5.71,1.613,9.14,1.0
0.9717,5.617,3.85,8.87,1.0
0.9873,5.523,6.086,8.586,1.0
0.9966,5.434,8.32,8.305,1.0
0.999,5.34,9.42,8.02,1.0
0.9956,5.246,7.188,7.746,1.0
0.9873,5.152,4.953,7.465,1.0
0.972,5.062,2.715,7.188,1.0
0.9614,4.97,1.5205,6.906,1.0
0.985,4.875,3.756,6.63,1.0
0.9976,4.78,5.992,6.348,1.0
0.999,4.69,8.23,6.07,1.0
0.9946,4.598,9.516,5.79,1.0
0.999,4.504,7.28,5.51,1.0
0.999,4.41,5.043,5.23,1.0
0.9907,4.316,2.809,4.953,1.0
0.9795,4.227,1.427,4.67,1.0
0.9985,4.133,3.662,4.39,1.0
0.9956,4.04,5.9,4.113,1.0
0.974,3.947,8.13,3.834,1.0
0.9487,3.854,9.61,3.555,1.0
0.9653,3.762,7.375,3.275,1.0
0.983,3.668,5.137,2.994,1.0
0.9966,3.576,2.902,2.715,1.0
0.9985,3.482,1.334,2.436,1.0
0.9746,3.39,3.57,2.156,1.0
0.9087,3.297,5.805,1.877,1.0
0.824,3.203,8.04,1.598,1.0
0.749,3.111,9.7,1.318,1.0
0.746,3.018,7.465,1.039,1.0
0.845,2.926,5.23,1.241,1.0
0.9526,2.832,2.994,1.5205,1.0
0.998,2.74,1.241,1.8,1.0
0.983,2.646,3.477,2.08,1.0
0.961,2.555,5.71,2.36,1.0
0.94,2.46,7.95,2.639,1.0
0.928,2.37,9.8,2.918,1.0
0.9746,2.275,7.56,3.197,1.0
0.998,2.184,5.324,3.477,1.0
