like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101,simulation_102,simulation_103,simulation_104,simulation_105,simulation_106,simulation_107,simulation_108,simulation_109,simulation_110,simulation_111,simulation_112,simulation_113,simulation_114,simulation_115,simulation_116,chain
0.734,1.746,1.972,7.758,1.0,0.1224,0.002691,0.4622,0.1239,0.2695,0.206,0.1224,1.0,0.3318,0.2637,0.0931,0.9355,0.00877,0.002691,0.3318,1.0,0.173,0.03653,0.3647,0.00268,0.4622,0.2637,0.173,1.0,0.0565,0.5864,0.5493,0.1239,0.0931,0.03653,0.0565,1.0,0.0988,0.011154,0.2695,0.9355,0.3647,0.5864,0.0988,1.0,0.2067,0.206,0.00877,0.00268,0.5493,0.011154,0.2067,1.0,3.002,0.1268,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,91.44,59.9,76.8,0.0,0.0,0.1677,12.63,20.42,27.23,36.38,47.38,62.53,87.56,139.6,200.6,6116.0,-0.0003467,0.07007,-45.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,49.03,74.2,-3068.0,-1.482,0.0,8.35,14.31,18.62,27.78,35.84,48.6,70.4,119.9,182.0,1858.0,0.07007,88.94,0.001079,50.3,-0.01155,81.9,0.001425,44.6,1.0
0.861,4.22,5.902,9.13,1.0,0.1224,0.002691,0.4622,0.1239,0.2025,0.1953,0.1224,1.0,0.3318,0.2637,0.0931,0.981,0.01434,0.002691,0.3318,1.0,0.173,0.03653,0.374,0.00506,0.4622,0.2637,0.173,1.0,0.0565,0.443,0.5303,0.1239,0.0931,0.03653,0.0565,1.0,0.0978,0.01096,0.2025,0.981,0.374,0.443,0.0978,1.0,0.1168,0.1953,0.01434,0.00506,0.5303,0.01096,0.1168,1.0,3.0,0.08716,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64.3,76.9,100.25,0.0,0.0,0.2993,17.69,24.72,35.06,45.22,59.06,78.44,110.75,180.1,262.5,4316.0,9.32e-05,0.03174,-18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.863,32.1,46.8,-1258.0,0.0,0.0,6.816,9.18,12.625,17.94,23.61,31.78,45.78,77.44,116.75,1130.0,0.03174,56.75,0.0005727,32.5,0.003107,41.75,0.0006657,28.39,1.0
0.9,7.785,1.885,6.043,1.0,0.1224,0.002691,0.4622,0.1239,0.1538,0.1985,0.1224,1.0,0.3318,0.2637,0.0931,0.9976,0.1523,0.002691,0.3318,1.0,0.173,0.03653,0.3433,0.04523,0.4622,0.2637,0.173,1.0,0.0565,0.3328,0.4756,0.1239,0.0931,0.03653,0.0565,1.0,0.0953,0.028,0.1538,0.9976,0.3433,0.3328,0.0953,1.0,0.1843,0.1985,0.1523,0.04523,0.4756,0.028,0.1843,1.0,3.002,0.1079,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,52.56,158.5,213.1,0.0,0.0,0.1171,39.03,48.28,71.5,90.44,120.4,160.0,226.9,374.0,551.5,4990.0,-0.001864,0.05154,-7.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.6,67.9,-1611.0,-174.0,-117.44,-70.8,-50.0,-37.6,-27.84,-21.7,-14.51,-12.5,0.0,0.0,407.2,0.05157,84.06,0.001864,49.62,-0.06207,-31.28,0.00372,41.88,1.0
0.8394,4.152,5.086,9.84,1.0,0.1224,0.002691,0.4622,0.1239,0.2097,0.1991,0.1224,1.0,0.3318,0.2637,0.0931,0.978,0.013855,0.002691,0.3318,1.0,0.173,0.03653,0.3704,0.004704,0.4622,0.2637,0.173,1.0,0.0565,0.458,0.5366,0.1239,0.0931,0.03653,0.0565,1.0,0.09796,0.01123,0.2097,0.978,0.3704,0.458,0.09796,1.0,0.1267,0.1991,0.013855,0.004704,0.5366,0.01123,0.1267,1.0,3.0,0.096,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,69.9,77.06,100.2,0.0,0.0,0.2603,17.56,24.95,35.1,45.5,59.34,78.8,111.2,180.4,262.5,4690.0,-1.93e-05,0.0391,-24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.906,31.89,47.38,-1632.0,0.0,0.0,6.13,9.21,12.266,17.94,23.38,31.58,45.62,77.44,117.2,1167.0,0.0391,57.12,0.0006676,32.5,-0.000643,41.4,0.0006866,28.61,1.0
0.8843,5.75,1.255,4.086,1.0,0.1224,0.002691,0.4622,0.1239,0.1512,0.1952,0.1224,1.0,0.3318,0.2637,0.0931,0.9976,0.1703,0.002691,0.3318,1.0,0.173,0.03653,0.3423,0.05026,0.4622,0.2637,0.173,1.0,0.0565,0.3271,0.4604,0.1239,0.0931,0.03653,0.0565,1.0,0.0951,0.02998,0.1512,0.9976,0.3423,0.3271,0.0951,1.0,0.1982,0.1952,0.1703,0.05026,0.4604,0.02998,0.1982,1.0,3.004,0.1107,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.44,165.1,222.4,0.0,0.0,0.1105,40.8,50.1,74.2,94.0,125.4,166.8,236.1,389.8,575.0,5216.0,-0.002178,0.0574,-8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.2,77.2,-1836.0,-197.6,-133.1,-80.2,-56.62,-42.6,-31.4,-24.47,-16.27,-14.2,0.0,0.0,418.8,0.05746,95.5,0.002178,56.22,-0.0725,-34.03,0.004345,47.6,1.0
0.907,8.13,8.516,4.19,1.0,0.1224,0.002691,0.4622,0.1239,0.1423,0.1521,0.1224,1.0,0.3318,0.2637,0.0931,0.9985,0.12494,0.002691,0.3318,1.0,0.173,0.03653,0.3608,0.04367,0.4622,0.2637,0.173,1.0,0.0565,0.3115,0.3855,0.1239,0.0931,0.03653,0.0565,1.0,0.09467,0.02122,0.1423,0.9985,0.3608,0.3115,0.09467,1.0,0.1422,0.1521,0.12494,0.04367,0.3855,0.02122,0.1422,1.0,3.0,0.05453,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,27.67,123.94,167.8,0.0,0.0,0.399,31.0,37.28,55.25,70.2,94.0,125.0,177.0,292.8,432.8,4180.0,-6.64e-05,0.02855,-2.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77,-15.02,23.34,-614.0,-56.53,-37.06,-21.66,-14.914,-10.945,-8.47,-5.63,-4.457,-2.027,0.0,1.367,1185.0,0.02855,27.77,0.000551,15.57,-0.002213,-12.12,0.0006175,13.94,1.0
0.7188,1.704,6.73,8.12,1.0,0.1224,0.002691,0.4622,0.1239,0.2705,0.1869,0.1224,1.0,0.3318,0.2637,0.0931,0.9263,0.00654,0.002691,0.3318,1.0,0.173,0.03653,0.4177,0.002117,0.4622,0.2637,0.173,1.0,0.0565,0.599,0.5195,0.1239,0.0931,0.03653,0.0565,1.0,0.09863,0.00911,0.2705,0.9263,0.4177,0.599,0.09863,1.0,0.1995,0.1869,0.00654,0.002117,0.5195,0.00911,0.1995,1.0,3.0,0.084,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,66.3,42.16,54.12,0.0,0.0,0.397,8.81,14.445,19.19,25.61,33.4,44.12,61.75,98.25,140.9,4436.0,0.0002418,0.03632,-20.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,66.75,94.9,-1393.0,-0.0715,0.0,15.9,18.94,27.55,37.12,49.6,66.44,95.1,159.8,239.4,2272.0,0.03632,116.0,0.000641,67.2,0.00806,158.4,0.000882,57.94,1.0
0.9014,6.176,2.938,8.516,1.0,0.1224,0.002691,0.4622,0.1239,0.1765,0.2078,0.1224,1.0,0.3318,0.2637,0.0931,0.992,0.05426,0.002691,0.3318,1.0,0.173,0.03653,0.3516,0.01712,0.4622,0.2637,0.173,1.0,0.0565,0.3828,0.5366,0.1239,0.0931,0.03653,0.0565,1.0,0.09656,0.0169,0.1765,0.992,0.3516,0.3828,0.09656,1.0,0.12134,0.2078,0.05426,0.01712,0.5366,0.0169,0.12134,1.0,3.002,0.10126,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,65.7,116.44,154.1,0.0,0.0,0.1626,27.75,36.38,53.56,67.44,88.8,117.94,167.1,273.8,401.5,4420.0,-0.0005646,0.03485,-20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,-7.484,10.125,-1351.0,-24.69,-17.5,-11.26,-8.12,-6.12,-4.62,-3.371,-2.389,-1.376,0.0,0.0,565.0,0.03488,12.586,0.000565,7.523,-0.01881,-6.43,0.001128,6.13,1.0
0.7896,8.57,6.1,1.763,1.0,0.1224,0.002691,0.4622,0.1239,0.1302,0.11456,0.1224,1.0,0.3318,0.2637,0.0931,0.9995,0.2303,0.002691,0.3318,1.0,0.173,0.03653,0.3508,0.0731,0.4622,0.2637,0.173,1.0,0.0565,0.284,0.2395,0.1239,0.0931,0.03653,0.0565,1.0,0.0938,0.03168,0.1302,0.9995,0.3508,0.284,0.0938,1.0,0.2338,0.11456,0.2303,0.0731,0.2395,0.03168,0.2338,1.0,3.002,0.0778,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22.77,161.9,221.5,0.0,0.0,0.3625,41.12,47.34,71.0,90.5,122.9,163.2,230.6,383.0,568.5,5324.0,-0.001402,0.06335,-8.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,-52.97,77.1,-1859.0,-192.5,-127.75,-75.56,-52.47,-39.0,-29.6,-20.9,-15.15,-11.34,0.0,0.0,2017.0,0.06335,93.56,0.002045,53.62,-0.0467,-32.72,0.00344,46.8,1.0
0.961,6.34,3.188,5.777,1.0,0.1224,0.002691,0.4622,0.1239,0.1587,0.197,0.1224,1.0,0.3318,0.2637,0.0931,0.996,0.1018,0.002691,0.3318,1.0,0.173,0.03653,0.35,0.03195,0.4622,0.2637,0.173,1.0,0.0565,0.3445,0.4958,0.1239,0.0931,0.03653,0.0565,1.0,0.0956,0.02165,0.1587,0.996,0.35,0.3445,0.0956,1.0,0.1421,0.197,0.1018,0.03195,0.4958,0.02165,0.1421,1.0,3.002,0.08966,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,51.5,134.0,179.4,0.0,0.0,0.2034,32.75,41.12,60.97,76.75,101.8,135.4,191.9,315.8,465.0,4188.0,-0.0007925,0.02657,-6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.06,34.03,-806.0,-87.6,-59.25,-35.8,-25.28,-19.0,-14.17,-11.086,-7.457,-6.254,0.0,0.0,240.0,0.02658,42.28,0.0007925,25.06,-0.0264,-18.7,0.001583,21.06,1.0
0.906,5.53,4.574,9.15,1.0,0.1224,0.002691,0.4622,0.1239,0.1859,0.2019,0.1224,1.0,0.3318,0.2637,0.0931,0.989,0.03012,0.002691,0.3318,1.0,0.173,0.03653,0.3606,0.010124,0.4622,0.2637,0.173,1.0,0.0565,0.4048,0.5356,0.1239,0.0931,0.03653,0.0565,1.0,0.09705,0.01351,0.1859,0.989,0.3606,0.4048,0.09705,1.0,0.11053,0.2019,0.03012,0.010124,0.5356,0.01351,0.11053,1.0,3.002,0.0928,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64.5,97.3,128.0,0.0,0.0,0.2319,22.89,30.64,44.62,56.7,74.44,98.8,139.9,228.5,334.2,4340.0,-0.0001553,0.03001,-19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.625,19.05,-1273.0,-1.936,0.0,0.6953,3.568,4.3,6.363,8.45,11.62,16.9,29.25,44.94,552.5,0.03001,22.31,0.0004761,12.34,-0.005173,11.945,0.0006313,11.21,1.0
0.8677,9.17,1.571,6.156,1.0,0.1224,0.002691,0.4622,0.1239,0.1498,0.194,0.1224,1.0,0.3318,0.2637,0.0931,0.998,0.1866,0.002691,0.3318,1.0,0.173,0.03653,0.3408,0.0546,0.4622,0.2637,0.173,1.0,0.0565,0.3237,0.4504,0.1239,0.0931,0.03653,0.0565,1.0,0.095,0.03198,0.1498,0.998,0.3408,0.3237,0.095,1.0,0.2122,0.194,0.1866,0.0546,0.4504,0.03198,0.2122,1.0,3.004,0.11646,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.9,172.4,232.5,0.0,0.0,0.09076,42.72,52.16,77.25,98.0,130.9,174.0,246.5,407.0,600.5,5456.0,-0.0026,0.0653,-9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.47,87.3,-2078.0,-223.4,-150.4,-90.5,-63.97,-48.1,-35.44,-27.6,-18.31,-16.05,0.0,0.0,456.5,0.06537,107.94,0.0026,63.5,-0.08655,-36.8,0.005184,53.8,1.0
