like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.9663,5.84,6.844,2.037,1.0,0.1683,0.003683,0.6963,0.1874,0.2166,0.328,0.1683,1.0,0.2155,0.219,0.1599,0.9956,0.5083,0.003683,0.2155,1.0,0.0729,0.03693,0.2668,0.1137,0.6963,0.219,0.0729,1.0,0.10846,0.2925,0.4756,0.1874,0.1599,0.03693,0.10846,1.0,0.165,0.1256,0.2166,0.9956,0.2668,0.2925,0.165,1.0,0.5347,0.328,0.5083,0.1137,0.4756,0.1256,0.5347,1.0,1.0
0.9927,5.766,8.56,3.783,1.0,0.1683,0.003683,0.6963,0.1874,0.257,0.3643,0.1683,1.0,0.2155,0.219,0.1599,0.9883,0.4065,0.003683,0.2155,1.0,0.0729,0.03693,0.2788,0.1005,0.6963,0.219,0.0729,1.0,0.10846,0.352,0.5737,0.1874,0.1599,0.03693,0.10846,1.0,0.1686,0.11115,0.257,0.9883,0.2788,0.352,0.1686,1.0,0.471,0.3643,0.4065,0.1005,0.5737,0.11115,0.471,1.0,1.0
0.9404,3.385,9.36,9.77,1.0,0.1683,0.003683,0.6963,0.1874,0.4663,0.4177,0.1683,1.0,0.2155,0.219,0.1599,0.8726,0.1154,0.003683,0.2155,1.0,0.0729,0.03693,0.292,0.04,0.6963,0.219,0.0729,1.0,0.10846,0.659,0.7324,0.1874,0.1599,0.03693,0.10846,1.0,0.1757,0.0762,0.4663,0.8726,0.292,0.659,0.1757,1.0,0.448,0.4177,0.1154,0.04,0.7324,0.0762,0.448,1.0,1.0
0.977,4.98,1.565,2.666,1.0,0.1683,0.003683,0.6963,0.1874,0.2441,0.4163,0.1683,1.0,0.2155,0.219,0.1599,0.993,0.5405,0.003683,0.2155,1.0,0.0729,0.03693,0.2305,0.0969,0.6963,0.219,0.0729,1.0,0.10846,0.3298,0.584,0.1874,0.1599,0.03693,0.10846,1.0,0.1675,0.1569,0.2441,0.993,0.2305,0.3298,0.1675,1.0,0.5913,0.4163,0.5405,0.0969,0.584,0.1569,0.5913,1.0,1.0
0.9453,1.1875,1.005,3.375,1.0,0.1683,0.003683,0.6963,0.1874,0.4712,0.4707,0.1683,1.0,0.2155,0.219,0.1599,0.876,0.1616,0.003683,0.2155,1.0,0.0729,0.03693,0.2301,0.03394,0.6963,0.219,0.0729,1.0,0.10846,0.661,0.779,0.1874,0.1599,0.03693,0.10846,1.0,0.1763,0.0941,0.4712,0.876,0.2301,0.661,0.1763,1.0,0.508,0.4707,0.1616,0.03394,0.779,0.0941,0.508,1.0,1.0
0.9927,5.19,9.13,6.797,1.0,0.1683,0.003683,0.6963,0.1874,0.3342,0.4111,0.1683,1.0,0.2155,0.219,0.1599,0.963,0.262,0.003683,0.2155,1.0,0.0729,0.03693,0.2837,0.071,0.6963,0.219,0.0729,1.0,0.10846,0.4648,0.689,0.1874,0.1599,0.03693,0.10846,1.0,0.1736,0.0957,0.3342,0.963,0.2837,0.4648,0.1736,1.0,0.4207,0.4111,0.262,0.071,0.689,0.0957,0.4207,1.0,1.0
0.9785,4.73,5.54,9.06,1.0,0.1683,0.003683,0.6963,0.1874,0.3972,0.4534,0.1683,1.0,0.2155,0.219,0.1599,0.932,0.2175,0.003683,0.2155,1.0,0.0729,0.03693,0.2542,0.04944,0.6963,0.219,0.0729,1.0,0.10846,0.5547,0.7495,0.1874,0.1599,0.03693,0.10846,1.0,0.1761,0.09845,0.3972,0.932,0.2542,0.5547,0.1761,1.0,0.4604,0.4534,0.2175,0.04944,0.7495,0.09845,0.4604,1.0,1.0
0.838,1.363,5.043,8.98,1.0,0.1683,0.003683,0.6963,0.1874,0.6025,0.4277,0.1683,1.0,0.2155,0.219,0.1599,0.679,0.06647,0.003683,0.2155,1.0,0.0729,0.03693,0.2472,0.02171,0.6963,0.219,0.0729,1.0,0.10846,0.8604,0.7466,0.1874,0.1599,0.03693,0.10846,1.0,0.1635,0.07227,0.6025,0.679,0.2472,0.8604,0.1635,1.0,0.5913,0.4277,0.06647,0.02171,0.7466,0.07227,0.5913,1.0,1.0
0.996,6.41,9.68,7.867,1.0,0.1683,0.003683,0.6963,0.1874,0.3262,0.4172,0.1683,1.0,0.2155,0.219,0.1599,0.9673,0.2888,0.003683,0.2155,1.0,0.0729,0.03693,0.2751,0.0723,0.6963,0.219,0.0729,1.0,0.10846,0.4521,0.6875,0.1874,0.1599,0.03693,0.10846,1.0,0.1732,0.10156,0.3262,0.9673,0.2751,0.4521,0.1732,1.0,0.4365,0.4172,0.2888,0.0723,0.6875,0.10156,0.4365,1.0,1.0
0.951,9.59,2.494,3.043,1.0,0.1683,0.003683,0.6963,0.1874,0.2141,0.3853,0.1683,1.0,0.2155,0.219,0.1599,0.9976,0.6055,0.003683,0.2155,1.0,0.0729,0.03693,0.228,0.1074,0.6963,0.219,0.0729,1.0,0.10846,0.2861,0.5103,0.1874,0.1599,0.03693,0.10846,1.0,0.1647,0.168,0.2141,0.9976,0.228,0.2861,0.1647,1.0,0.6304,0.3853,0.6055,0.1074,0.5103,0.168,0.6304,1.0,1.0
