,zone,med,stdev,mean,topo_type,pzone
0,dem_5m_pzone_1_cog,12.804450035095215,11.883759498596193,15.243779182434082,dem,1
1,dem_5m_pzone_2_cog,52.31372451782226,18.59705924987793,51.1422119140625,dem,2
2,dem_5m_pzone_3_cog,95.44932556152344,54.917945861816406,114.5910186767578,dem,3
3,dem_5m_pzone_4_cog,21.37769889831543,18.33452033996582,27.07017707824707,dem,4
4,dem_5m_pzone_5_cog,29.78062438964844,10.22606086730957,28.0335693359375,dem,5
5,dem_5m_pzone_6_cog,9.433424949645996,7.07747220993042,10.281200408935547,dem,6
6,dem_5m_pzone_7_cog,36.87305068969727,23.458356857299805,37.11272430419922,dem,7
7,dem_5m_pzone_8_cog,45.67524719238281,18.831594467163086,50.0839958190918,dem,8
8,dem_5m_pzone_9_cog,13.75772476196289,8.395666122436522,13.806697845458984,dem,9
9,dem_5m_pzone_10_cog,5.859274864196777,5.195484161376953,7.1045331954956055,dem,10
10,dem_5m_pzone_11_cog,78.08102416992188,26.265869140625,83.16513061523438,dem,11
11,dem_5m_pzone_12_cog,17.252399444580078,12.47761344909668,19.05526351928711,dem,12
12,dem_5m_pzone_13_cog,12.067649841308596,8.397168159484862,13.158093452453613,dem,13
13,dem_5m_pzone_14_cog,48.51124954223633,13.849661827087402,49.1523323059082,dem,14
14,dem_5m_pzone_15_cog,32.69915008544922,15.484427452087402,35.877357482910156,dem,15
15,dem_5m_pzone_16_cog,75.70207214355469,15.851760864257812,76.90868377685547,dem,16
16,dem_5m_pzone_17_cog,58.22297286987305,13.560718536376953,56.15312957763672,dem,17
17,dem_5m_pzone_18_cog,64.43212127685547,23.242412567138672,64.83045196533203,dem,18
18,dem_5m_pzone_19_cog,91.51829528808594,19.669750213623047,93.0259780883789,dem,19
19,dem_5m_pzone_20_cog,67.61552429199219,17.562824249267578,66.13041687011719,dem,20
20,dem_5m_pzone_21_cog,54.19361114501953,39.37431716918945,68.39960479736328,dem,21
21,dem_5m_pzone_22_cog,47.3167724609375,11.123861312866213,48.07836151123047,dem,22
0,slope_5m_pzone_1_cog,0.61043781042099,1.4049382209777832,1.0089040994644165,slope,1
1,slope_5m_pzone_2_cog,0.6695228815078735,2.68461012840271,1.3305871486663818,slope,2
2,slope_5m_pzone_3_cog,1.5277594327926636,3.6073181629180913,2.8816072940826416,slope,3
3,slope_5m_pzone_4_cog,0.507286012172699,1.4762152433395386,0.9350315928459167,slope,4
4,slope_5m_pzone_5_cog,0.5810720920562744,3.9126734733581534,1.7635102272033691,slope,5
5,slope_5m_pzone_6_cog,0.6113358736038208,1.3663725852966309,1.0190153121948242,slope,6
